echo_id,kind,gid,date,in_kzt,out_kzt,lag_days,n_sources,n_targets,sources,targets,match,score,evidence
ECH-001,relay,100000005171642100,2026-07-22,652000.0,652000.0,0,1,1,100000004221668100,100000004221668100,exact,1.0,"received 652,000 KZT on 2026-07-22 from …1668100 and sent 652,000 KZT the same day back to …1668100 (exact)"
ECH-002,relay,100000000791285100,2026-07-30,560000.0,560000.0,0,1,1,100000008461532100,100000008461532100,exact,0.8871,"received 560,000 KZT on 2026-07-30 from …1532100 and sent 560,000 KZT the same day back to …1532100 (exact)"
ECH-003,relay,100000007629096100,2026-07-30,500000.0,500000.0,1,1,1,100000007639767100,100000002741024100,exact,0.8135,"received 500,000 KZT on 2026-07-30 from …9767100 and sent 500,000 KZT the next day to …1024100 (exact)"
ECH-004,relay,100000008723830100,2026-07-16,454000.0,455000.0,1,1,1,100000003016635100,100000005614315100,within_2pct,0.7363,"received 454,000 KZT on 2026-07-16 from …6635100 and sent 455,000 KZT the next day to …4315100 (within 2%)"
ECH-005,split,100000005933757100,2026-07-08,420000.0,421137.0,1,1,6,100000002963189100,100000002633108100 100000002748532100 100000002951898100 100000003111305100 100000004159526100 100000004500444100,within_2pct,0.6897,"received 420,000 KZT on 2026-07-08 from …3189100 and sent 421,137 KZT in 6 transfers over 2026-07-08..2026-07-09 to 6 accounts (within 2%)"
ECH-006,relay,100000002224132100,2026-07-16,510000.0,500000.0,0,1,1,100000005664922100,100000000552584100,within_2pct,0.6174,"received 510,000 KZT on 2026-07-16 from …4922100 and sent 500,000 KZT the same day to …2584100 (within 2%)"
ECH-007,relay,100000002032323100,2026-07-14,300000.0,300000.0,0,1,1,100000008603331100,100000002671326100,exact,0.5681,"received 300,000 KZT on 2026-07-14 from …3331100 and sent 300,000 KZT the same day to …1326100 (exact)"
ECH-008,relay,100000002989353100,2026-07-21,300000.0,300000.0,0,1,1,100000005242320100,100000001311175100,exact,0.5681,"received 300,000 KZT on 2026-07-21 from …2320100 and sent 300,000 KZT the same day to …1175100 (exact)"
ECH-009,relay,100000003115284100,2026-07-19,300000.0,300000.0,0,1,1,100000000331309100,100000003360542100,exact,0.5681,"received 300,000 KZT on 2026-07-19 from …1309100 and sent 300,000 KZT the same day to …0542100 (exact)"
ECH-010,fan_split,100000008465789100,2026-07-17,0.0,300000.0,0,0,3,,100000002878467100 100000003134550100 100000005667841100,exact,0.5681,"sent 100,000 KZT each to 3 distinct accounts on 2026-07-17, 300,000 KZT in total (exact)"
